id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
51255,25627,51254,4254,5095,89967667,1000,1,1000,40,0,3
51256,25628,51257,2010,4889,28101541,0,17,1,34,0,0
51257,25628,51256,4889,2010,471898459,1000,250,1000,40,0,0
51258,25629,51259,5209,4243,7883931,1000,1,1000,40,0,0
51259,25629,51258,4243,5209,92116069,1000,1,1000,40,0,1
51260,25630,51261,3133,3074,64785732,500,300,1000,40,0,0
51261,25630,51260,3074,3133,935214268,10,100,1000,420,0,0
51262,25631,51263,2248,4388,27946759,1000,1,1000,40,0,0
51263,25631,51262,4388,2248,1972053241,2000,1375,1000,40,0,0
51264,25632,51265,189,4659,16448232,1000,10,1,14,0,1
51265,25632,51264,4659,189,483551768,1,1,1000,40,0,1
51266,25633,51267,4254,5210,10017788,1000,1,1000,40,0,0
51267,25633,51266,5210,4254,89982212,1000,1,1000,40,0,2
51268,25634,51269,3990,77,57956512,1000,1,1000,40,0,0
51269,25634,51268,77,3990,866469488,1000,1700,1000,40,0,0
51270,25635,51271,4254,5211,941103,1000,1,1000,40,0,0
51271,25635,51270,5211,4254,99058897,1000,1,1000,40,0,1
51272,25636,51273,3735,4888,32464396,1000,1,1000,40,0,0
51273,25636,51272,4888,3735,3043158604,1000,1,1000,40,0,0
51274,25637,51275,46,5064,15115097,1000,1,1000,40,0,0
51275,25637,51274,5064,46,284884903,1000,1,1000,40,0,0
51276,25638,51277,5064,194,38282690,1000,1,1000,40,0,0
51277,25638,51276,194,5064,461717310,1000,10,1,34,0,0
51278,25639,51279,3450,46,164617268,248,98,1000,39,0,0
51279,25639,51278,46,3450,5238636732,1000,1,1000,40,0,1
51280,25640,51281,5163,130,154762866,1000,1,1000,40,0,0
51281,25640,51280,130,5163,1845237134,1,1,1000,40,0,0
51282,25641,51283,5152,3074,2763688,1000,20,1000,40,0,1
51283,25641,51282,3074,5152,66543312,10,100,1000,420,0,0
51284,25642,51285,4254,5208,2978511,1000,1,1000,40,0,0
51285,25642,51284,5208,4254,97021489,1000,1,1000,40,0,0
51286,25643,51287,4555,219,1340203889,1000,1,1000,40,0,0
51287,25643,51286,219,4555,12659796111,4000,700,1000,200,0,0
51288,25644,51289,468,4555,42787065,1000,1,1000,40,0,0
51289,25644,51288,4555,468,1957212935,1000,1,1000,40,0,0
51290,25645,51291,46,4555,134036106,1000,1,1000,40,0,0
51291,25645,51290,4555,46,1865963894,1000,1,1000,40,0,0
51292,25646,51293,5057,3622,370572818,1000,1,1000,40,0,0
51293,25646,51292,3622,5057,4629427182,100000,1000,1000,40,0,0
51294,25647,51295,4648,2879,19566492,1000,1,1000,40,0,0
51295,25647,51294,2879,4648,190433508,1000,10,1,34,0,0
51296,25648,51297,5064,151,42773353,1000,1,1000,40,0,0
51297,25648,51296,151,5064,537226647,2,0,1,144,0,0
51298,25649,51299,468,351,1512068,1000,1,1000,40,0,0
51299,25649,51298,351,468,59755932,1000,10,1,10,0,0
51300,25650,51301,377,520,32852703,1000,1,1000,40,0,0
51301,25650,51300,520,377,633813297,69420,69,1000,40,0,0
51302,25651,51303,4254,5212,5238549,1000,1,1000,40,0,1
51303,25651,51302,5212,4254,94761451,1000,1,1000,40,0,2
51304,25652,51305,5213,177,68096893,1000,1,1000,40,0,0
51305,25652,51304,177,5213,931903107,1000,100,1,144,0,0
51306,25653,51307,4849,5214,722413,1000,1,1000,40,0,0
51307,25653,51306,5214,4849,99277587,1000,1,1000,40,0,0
51308,25654,51309,468,5213,2767081,1000,1,1000,40,0,0
51309,25654,51308,5213,468,797232919,1000,1,1000,40,0,0
51310,25655,51311,4254,5214,4971685,1000,1,1000,40,0,0
51311,25655,51310,5214,4254,95028315,1000,1,1000,40,0,0
51312,25656,51313,4849,5214,3881077,1000,1,1000,40,0,0
51313,25656,51312,5214,4849,96118923,1000,1,1000,40,0,0
51314,25657,51315,3617,2087,54357586,1000,400,1000000,30,0,0
51315,25657,51314,2087,3617,1345642414,1000,1,1000,40,0,0
51316,25658,51317,2208,46,1564693,1000,1,1000,40,0,0
51317,25658,51316,46,2208,136435307,1000,1,1000,40,0,0
51318,25659,51319,5213,3622,2334799,1000,1,1000,40,0,0
51319,25659,51318,3622,5213,797665201,100000,1000,1000,40,0,0
51320,25660,51321,2640,4555,439015670,1000,1,1000,40,0,0
51321,25660,51320,4555,2640,9560984330,1000,1,1000,40,0,2
51322,25661,51323,4254,5208,14823840,1000,1,1000,40,0,0
51323,25661,51322,5208,4254,235176160,1000,1,1000,40,0,0
51324,25662,51325,1463,5199,5348398,1000,1,1000,40,0,0
51325,25662,51324,5199,1463,194651602,1000,1,1000,40,0,0
51326,25663,51327,468,157,236945635,1000,1,1000,40,0,0
51327,25663,51326,157,468,4763054365,1000,1,1000,40,0,0
51328,25664,51329,468,5057,224715991,1000,1,1000,40,0,0
51329,25664,51328,5057,468,4123784009,1000,1,1000,40,0,0
51330,25665,51331,4388,5215,7474522,2000,1440,1000,40,0,0
51331,25665,51330,5215,4388,106998478,100,1,1000,40,0,0
51332,25666,51333,4564,3074,37413319,1000,1,1000,40,0,0
51333,25666,51332,3074,4564,462586681,10,100,1000,420,0,0
51334,25667,51335,46,2921,30088327,1000,1,1000,40,0,0
51335,25667,51334,2921,46,469911673,1000,1,1000,40,0,0
51336,25668,51337,177,2938,547944057,1000,100,1,144,0,0
51337,25668,51336,2938,177,10650358943,1000,1,1000,40,0,0
51338,25669,51339,4100,5216,6527140,1000,1,1000,40,0,8
51339,25669,51338,5216,4100,93472860,0,1,1000,40,0,1
51340,25670,51341,4304,2869,964301840,1000,90,1000,40,0,0
51341,25670,51340,2869,4304,9035698160,900,1,1000,40,0,0
51342,25671,51343,4100,5217,3068024,1000,1,1000,40,0,2
51343,25671,51342,5217,4100,96931976,0,1,1000,40,0,0
51344,25672,51345,5218,3115,192414135,0,5,1000,40,0,0
51345,25672,51344,3115,5218,4039533865,1000,1,1000,40,0,0
51346,25673,51347,4100,5219,5454017,1000,1,1000,40,0,3
51347,25673,51346,5219,4100,94545983,0,1,1000,40,0,3
51348,25674,51349,4209,2594,2133849,1,91,1000,40,0,0
51349,25674,51348,2594,4209,97866151,500,60,1000,40,0,0
51350,25675,51351,1940,2594,15131696,1000,100,1000,40,0,0
51351,25675,51350,2594,1940,1964868304,500,60,1000,40,0,0
51352,25676,51353,2,4123,112428791,0,1000,1000,18,0,0
51353,25676,51352,4123,2,2587571209,1000,10,1000,40,0,1
51354,25677,51355,3269,3519,340253859,1000,1,1000,40,0,0
51355,25677,51354,3519,3269,4659746141,1000,1,1000,40,0,0
51356,25678,51357,54,5093,7045839,1000,1,1000,40,0,0
51357,25678,51356,5093,54,92954161,1000,1,1000,40,0,0
51358,25679,51359,184,2506,39978671,0,1000,1000,40,0,0
51359,25679,51358,2506,184,421887329,1000,1,1000,40,0,0
51360,25680,51361,3896,177,214847886,999,9,1,34,0,0
51361,25680,51360,177,3896,3785152114,1000,100,0,144,0,0
51362,25681,51363,349,5220,85451577,1,1,1000,144,0,0
51363,25681,51362,5220,349,1122212423,1000,1,1000,40,0,1
51364,25682,51365,3545,17,81435907,0,1800,1000,40,0,0
51365,25682,51364,17,3545,2923564093,1000,1,1000,40,0,0
51366,25683,51367,326,5208,7494973,1,1,1000,144,0,0
51367,25683,51366,5208,326,192505027,1000,1,1000,40,0,0
51368,25684,51369,160,5161,693447425,490,10,1,14,0,0
51369,25684,51368,5161,160,9306552575,1000,1,1000,40,0,0
51370,25685,51371,335,4209,187214050,1000,23,1000,40,0,0
51371,25685,51370,4209,335,3812785950,1,91,1000,40,0,0
51372,25686,51373,5138,475,106213540,1000,1,1000,40,0,0
51373,25686,51372,475,5138,4893786460,1,1,1000,40,0,0
51374,25687,51375,4414,475,293297909,2000,1456,1000,40,0,0
51375,25687,51374,475,4414,9706702091,1,1,1000,40,0,0
51376,25688,51377,4388,475,403072133,2000,870,1000,40,0,0
51377,25688,51376,475,4388,9596927867,1,800,1000,40,0,0
51378,25689,51379,3133,475,84777113,500,300,1000,40,0,0
51379,25689,51378,475,3133,915222887,1,800,1000,40,0,0
51380,25690,51381,4769,4414,873327272,1000,250,1000,144,0,0
51381,25690,51380,4414,4769,9126672728,2000,744,1000,40,0,0
51382,25691,51383,2427,4700,29955448,2000,2000,1000,40,0,2
51383,25691,51382,4700,2427,1070044552,1000,1,1000,40,0,0
51384,25692,51385,5157,820,919443243,1592,37,1,34,0,0
51385,25692,51384,820,5157,9080556757,1000,1,1000,40,0,0
51386,25693,51387,276,5157,1649165165,92,976,1000,42,0,1
51387,25693,51386,5157,276,15350834835,1317,1,1,34,0,1
51388,25694,51389,201,4388,128172244,100,1000,1,50,0,0
51389,25694,51388,4388,201,9871827756,2000,252,1000,40,0,0
51390,25695,51391,5064,4346,117124922,1000,1,1000,40,0,0
51391,25695,51390,4346,5064,2382875078,2000,1013,1000,40,0,0
51392,25696,51393,33,5221,77110652,0,0,1,40,0,1
51393,25696,51392,5221,33,2466099348,1000,1,1000,40,0,0
51394,25697,51395,2248,4388,193783926,1000,1,1000,40,0,0
51395,25697,51394,4388,2248,2306216074,2000,255,1000,40,0,0
51396,25698,51397,2,4882,87344991,0,1000,1000,18,0,1
51397,25698,51396,4882,2,912655009,1000,1000,1000,40,0,1
51398,25699,51399,5213,276,192273795,1000,1,1000,40,0,0
51399,25699,51398,276,5213,2206501205,92,1484,1000,42,0,0
51400,25700,51401,162,3074,12427051,1000,1,1000,40,0,0
51401,25700,51400,3074,162,287572949,10,100,1000,420,0,0
51402,25701,51403,4648,2087,14322229,1000,1,1000,40,0,0
51403,25701,51402,2087,4648,195677771,1000,1,1000,40,0,0
51404,25702,51405,468,4648,2996249,1000,1,1000,40,0,0
51405,25702,51404,4648,468,207003751,1000,1,1000,40,0,0
51406,25703,51407,468,5222,15808030,1000,1,1000,40,0,0
51407,25703,51406,5222,468,484191970,0,48,1000,48,0,1
51408,25704,51409,5223,177,10361548,1000,1,1000,40,0,1
51409,25704,51408,177,5223,189638452,1000,100,1,144,0,2
51410,25705,51411,977,5224,79710394,849,489,1000,40,0,4
